epoch,train_loss,val_CRPS_log,val_CRPS_mm,val_Brier_flash,val_Brier_peak,val_Brier_acc,flash_pr_auc,flash_roc_auc,peak_pr_auc,peak_roc_auc,acc_pr_auc,acc_roc_auc,flash_n_valid,peak_n_valid,acc_n_valid
1,4.71553303006867,0.13226509021306312,0.681960560795559,0.14312926092985492,0.16627473168562523,0.16178411148861,0.37356791653692434,0.8951512263230971,0.6107089710570629,0.8509694962466288,0.2547264650405084,0.8500720091314864,311538,311546,311482
2,4.480194999023127,0.12944719831918394,0.6759752323039733,0.12488008611615947,0.1566889846053971,0.14277905707776667,0.3884741134674564,0.9026602790178542,0.6208090104882006,0.8564604066062491,0.2680546241618909,0.8573281388808798,311538,311546,311482
3,4.421522028694217,0.12981388977897526,0.679763059221445,0.13030814765960144,0.16175082552705666,0.1694423651209746,0.39353077954866533,0.902541178300541,0.6282212319762391,0.8586238566510869,0.2686139202411472,0.8594377794915806,311538,311546,311482
4,4.379245055913036,0.1272672584462093,0.6748167132114657,0.1474517801827147,0.16658231925226535,0.16071460396787907,0.3985168882618241,0.904821979871023,0.6274821769338059,0.8593378336478545,0.2732193818049804,0.8623097572291143,311538,311546,311482
5,4.3520572357307525,0.1267728318410799,0.6708715161700484,0.15243682832481245,0.16669569619999153,0.16729969365112063,0.4062565437013011,0.9068689238705152,0.633492041525995,0.8619259904403659,0.2790038701873022,0.8649651689251058,311538,311546,311482
6,4.321300515259139,0.12767486565524083,0.6712121025252299,0.1179480222975804,0.1571005642737805,0.1345950140819243,0.40535997284101577,0.9072839153663177,0.6310321575840102,0.8620391116695096,0.27261294397060465,0.8645073854060434,311538,311546,311482
7,4.299674416392886,0.12707160297012157,0.6699155605437059,0.12735607899157717,0.15147200553070364,0.14065718215015977,0.4084207448112091,0.9074833359368112,0.6333175199224801,0.8618810418178395,0.2794198234844667,0.8654165962959195,311538,311546,311482
8,4.283611215734375,0.1271508136161405,0.6706659799254701,0.12225767111318551,0.14998287773867003,0.129837626070653,0.40766311109278963,0.9067585859792124,0.6364514894080124,0.861557417542841,0.2838094624967996,0.8651946388125479,311538,311546,311482
9,4.260969956493662,0.12700353249767957,0.6698026656453459,0.13042944940488602,0.1542075486704126,0.133080137505842,0.40760981599331403,0.9080389126813976,0.6331032453291467,0.8621146751805886,0.2668361452784318,0.8642390400481949,311538,311546,311482
10,4.246830524747537,0.12791040009301388,0.6734362204572533,0.11145551275205169,0.14877242132675098,0.1273441058137538,0.40651481029760256,0.9080422879982701,0.6360702188328788,0.8617843489054312,0.28047438040362815,0.8650483086565457,311538,311546,311482
11,4.232549534059122,0.12716204960763985,0.6742055652990048,0.11783614890944695,0.1466549849903625,0.13043081490568642,0.4130667093846534,0.9100512503987619,0.6394675406573829,0.8639156235248232,0.2798976729475173,0.8659828706790061,311538,311546,311482
12,4.216539751096593,0.12786545522124848,0.6718414645773466,0.1277057034274622,0.1518241791562751,0.13116362612068294,0.4107973413632603,0.9086441271123735,0.6342781319096145,0.8601236111132444,0.27972433079649706,0.8625512029310092,311538,311546,311482
13,4.2036874539188975,0.12711234290951065,0.6736206057956459,0.12421904518908447,0.1533273121939846,0.15088315617781872,0.41097904999231777,0.9090019218418821,0.637638351495504,0.8609878232676982,0.2806433183310383,0.861534262072313,311538,311546,311482
14,4.187838108969837,0.12665138598482809,0.6708633971152315,0.11248684688459143,0.14871386383362586,0.13722281994453295,0.40889005768296777,0.9082169775642704,0.6356239447179781,0.8600128566352246,0.2834803960422676,0.8635169424356096,311538,311546,311482
15,4.174975758675405,0.12805943340282133,0.6741038365857448,0.13375099274497643,0.1486347266587353,0.14789661493968262,0.40382755535743103,0.9076265721297574,0.6355224078088015,0.8608426079779223,0.2832985185636807,0.8584731677423716,311538,311546,311482
16,4.161896841282457,0.12619932057787842,0.6722687754331024,0.12482307784548848,0.15016978742716944,0.13550951249803425,0.4113394205245927,0.9101645995637453,0.636937417195806,0.8625938663844945,0.2809717278315972,0.8646656925916332,311538,311546,311482
17,4.150065771507559,0.1273125084360432,0.6780413284280032,0.12540473447949127,0.15841870602624877,0.15169261097351971,0.41136218449034184,0.9093881220498141,0.633724260969741,0.8603737435168558,0.27589508411791486,0.8620611937104992,311538,311546,311482
18,4.136676694500544,0.1267369737733441,0.6703369339154498,0.12034158439726099,0.1522657907490207,0.13587274678146166,0.4127374583554441,0.9096967527926605,0.6374792602515704,0.8630760582620864,0.282058792478741,0.8641053855137181,311538,311546,311482
19,4.126334042268223,0.1264676697854803,0.6756417323589383,0.12721348309601696,0.15680295580563275,0.14573745187233858,0.41514457621247935,0.9096528432418238,0.6410748196445202,0.8636103985424392,0.2824340388528318,0.8653374762297934,311538,311546,311482
20,4.1157896870734705,0.12622533745001774,0.6699967850997511,0.11499436474802122,0.15002535419656024,0.12637222815043725,0.41331281672786524,0.9100083486977373,0.6350280445972194,0.8619332297806335,0.2736477917195998,0.8634614315513607,311538,311546,311482
21,4.106782871604766,0.1277752987730547,0.6777976425733735,0.12460882939338647,0.15596364368869003,0.13495767490720847,0.41530565343056697,0.9101011441223301,0.6381498311286334,0.8622654850228216,0.2835426979379754,0.8628661055089135,311538,311546,311482
22,4.094824448416786,0.1280908756905628,0.683050847049715,0.12587798977114714,0.15980939162975075,0.14406961682716282,0.41763418862653456,0.9103101291565908,0.6402169790148924,0.8634543349121012,0.2844813754931844,0.863624125041518,311538,311546,311482
23,4.081537510902467,0.12689447114025065,0.6710925966617651,0.11685325378938617,0.15440991380221247,0.14102442918631872,0.41388808890017365,0.9089911843729754,0.6354819631339043,0.8614176709830441,0.28122143991170595,0.8633074047326933,311538,311546,311482
24,4.078183532383441,0.12608200129614786,0.66774123551698,0.12175990593165983,0.15367638743783574,0.12339764428304517,0.4103851462033634,0.9088038259182089,0.6341718423601277,0.8605815046472063,0.2614304419347494,0.8569696348426423,311538,311546,311482
25,4.063658762253726,0.12782265286071662,0.6824764245062359,0.13777796946288207,0.1685799317695694,0.17553040726268357,0.4152337884560411,0.9106553685738575,0.6373264008025992,0.8630949186025426,0.2701372884746824,0.8637708438196642,311538,311546,311482
26,4.0527271886622165,0.1270638358704616,0.6743977144932478,0.12973099813425165,0.1610595713911139,0.14568850706035766,0.41391114531877515,0.9095721969979778,0.6339818512819196,0.8616615687312925,0.2632859443274856,0.8616722986031529,311538,311546,311482
27,4.042685368139294,0.12627525608629664,0.6719669524419206,0.11347729035547081,0.1521694668908848,0.13726191474904112,0.4153169849204592,0.909740273645637,0.6354206553455792,0.8603669497444169,0.2777612740698603,0.8599689905024881,311538,311546,311482
28,4.027730193691943,0.12824060788413816,0.6901476792573364,0.1337926179637837,0.16769662603608274,0.17111273466297236,0.41285648911652784,0.9081923000985748,0.6344679266676051,0.8599726204084881,0.2789470935820857,0.8611039291070527,311538,311546,311482
29,4.028640312236427,0.12674624028450157,0.6795284950318592,0.12176203408434645,0.1538976491016448,0.1411812020229427,0.4093400492790194,0.90870849261019,0.6365711993304654,0.8612069005206953,0.2776254707268545,0.8613309131604683,311538,311546,311482
